AREA_NAME,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,ASSAULT_RATE_2023
Ionview,7.194244385,28.6450882,28.46772385,7.077140808,7.021978855,13.9713583,NA,21.20740891,14.15328026,14.16330242,14121,892.2880859
Kennedy Park,33.91363144,17.02031136,28.39295769,22.53267288,111.4640808,33.17850113,49.76774979,16.69820786,27.74386787,66.0320282,18173,1744.345947
Cliffcrest,24.65787125,30.8375473,18.48542786,42.38057709,17.78304672,17.49271202,52.00207901,17.26916885,28.45597839,11.15946865,17922,1021.09137
Birchcliffe-Cliffside,13.45834637,22.44971275,26.89135933,22.19460297,35.02320099,30.30303001,21.59547424,17.33477783,25.87099075,29.89281273,23417,892.5139771
Downtown Yonge East,173.9919739,83.65655518,228.7980499,144.6759186,137.2777863,130.6677094,150.441925,157.7191315,110.8841553,138.7116394,18023,3639.793701
Church-Wellesley,56.72793198,27.58468437,64.29489899,51.69828796,104.6494217,101.2584991,89.31509399,96.91711426,89.90784454,113.3490295,22938,1456.098999
St Lawrence-East Bayfront-The Islands,70.92827606,81.46813965,66.30750275,79.19223785,64.36711884,101.799675,63.30226898,78.9347229,76.29029846,99.99032593,31003,1435.344971
Harbourfront-CityPlace,51.76206589,60.07449341,85.87857819,43.48613739,66.81436157,68.51661682,47.02088928,29.8537159,48.69181442,47.65384293,31477,860.946106
Wellington Place,128.4130859,90.29073334,108.3599701,99.37888336,109.9908371,123.5672607,100,79.78723145,78.84456635,110.8417053,28870,1485.971558
Fort York-Liberty Village,73.27959442,83.91272736,59.84766006,42.18741608,40.88098526,59.63029099,19.45336151,81.58172607,70.33008575,54.89478683,21860,763.9524536
West Queen West,45.34804535,29.80181885,43.8020134,28.70676041,49.25415039,41.51674652,47.9517746,40.93048477,40.49676132,33.03382492,15136,713.5306396
Humber Bay Shores,40.86358261,37.73110199,58.4009819,45.20284653,38.24509811,26.5195713,57.00663376,30.63412666,59.77584076,48.02612686,20822,729.9971313
Mimico-Queensway,23.55435181,52.42616653,40.1929245,28.39779663,33.57770538,77.48934174,44.12575912,38.67617035,60.45284653,136.5150452,18313,2834.052246
Etobicoke City Centre,169.6222076,192.3266602,146.6414337,123.6376953,217.0735016,116.1140518,96.66708374,132.4722595,181.8328705,235.3402557,25495,1208.079956
Islington,8.658383369,25.7787323,25.49502754,25.08361244,20.47585869,36.2800827,31.97953224,23.90723991,31.52833557,50.12144852,25937,528.2029419
Bendale South,18.63585472,18.58908844,36.98908997,36.75457001,NA,9.084301949,9.104980469,NA,9.189487457,18.38066292,10881,753.6071777
Caledonia-Fairbank,48.77573013,9.777082443,9.770395279,9.69838047,9.578543663,19.01140594,19.00598717,47.80114746,19.05850983,18.90180588,10581,595.4068604
Briar Hill-Belgravia,60.94670486,13.61099815,27.29071426,27.05993843,26.70940208,39.73509979,52.92755508,19.95875168,46.40678787,52.81922531,15146,587.6138916
Oakwood Village,9.184844971,13.82297421,9.214467049,22.86027718,9.037914276,8.967000961,13.44748783,36.05552673,22.48100281,13.39046574,22404,499.9107361
Humewood-Cedarvale,20.41232872,20.43875122,34.00666428,33.57958221,46.30242157,19.60271835,39.02439117,13.02846718,12.93828392,19.20614624,15620,345.7106323
Lawrence Park North,26.5111351,33.25352478,19.96140862,39.58828354,26.03997231,25.82144547,6.454527855,6.485925674,19.37984467,44.92651367,15581,205.3783417
Lawrence Park South,31.60156822,19.03674126,6.35445118,12.55650425,12.34796524,48.82514572,72.96607208,12.16767025,30.20783043,35.76111603,16778,196.686142
Forest Hill North,23.13030052,30.81189346,15.35390759,22.89027977,NA,22.57676125,52.77840424,15.18948841,45.54079819,22.77558517,13172,478.287262
Forest Hill South,45.19978333,45.57469559,45.77915955,71.89718628,17.55001831,34.46196365,51.11603165,25.42372894,83.59107208,24.67105293,12160,353.6184082
Yonge-Eglinton,42.48810196,41.76411438,16.38135719,32.07698441,39.18188095,69.15097809,53.21170807,15.11601543,44.7060585,109.1464767,13743,756.7489014
Mount Pleasant East,11.70480442,17.46826553,5.776673794,22.86236763,50.79293442,16.77383232,22.33139801,16.81143188,33.4560051,27.64875031,18084,425.790741
Rosedale-Moore Park,33.03445053,42.54715729,42.49692917,46.46192551,50.20309448,62.92417526,44.62492752,35.63950729,57.31669617,99.77009583,23053,1175.552002
Yonge-St.Clair,23.98273277,39.55070496,54.69177246,NA,22.64834595,44.62625504,22.16639519,22.1287899,7.300335884,14.33383465,13953,250.8421173
Casa Loma,36.40335083,45.31858826,63.02331924,62.0622406,17.4291935,17.21318436,59.84952164,34.16759109,25.39145088,50.11693954,11972,467.7580872
Annex,74.78414917,64.26300812,73.86764526,95.09755707,140.4539185,127.8852158,95.22931671,103.4157639,110.6988983,182.598114,34502,1147.759521
Wychwood,22.06369019,7.346998692,29.25473595,28.88920975,14.19849491,7.005744934,6.96524334,13.91304302,62.22344971,6.845095634,14609,609.213501
Corso Italia-Davenport,13.88117695,27.73925018,13.81788063,20.60722542,33.99279404,33.77922058,40.65867233,27.28326797,20.44989777,81.16883087,14784,994.3181763
Weston-Pelham Park,33.92705536,34.59010696,70.39155579,8.659507751,17.0024662,25.1109066,24.9169426,8.296001434,24.64065742,32.44120026,12330,965.1257324
Junction Area,27.82028008,13.90917301,27.74887276,54.81704712,40.55150223,60.18054199,39.97867966,33.40013504,86.38447571,59.00865555,15252,891.6863403
Oakridge,14.26635265,28.53881264,71.21492767,6.997900486,27.43860626,40.46125793,26.7218914,33.29781723,46.10419464,25.99259186,15389,1397.101807
Clairlea-Birchmount,15.15036774,56.10622787,66.31543732,25.49533844,43.08333206,53.28218079,21.25398445,53.21035767,52.93245697,34.74393845,28782,965.8814697
Wexford/Maryvale,60.30079269,56.61712646,45.78754425,38.30350113,44.61374664,47.53658676,37.25403976,50.87677765,74.21901703,63.60897064,29870,870.4385376
Tam O'Shanter-Sullivan,14.30564022,25.14909744,28.7811203,28.36980057,10.46280479,10.32666683,10.27291679,17.12915421,16.98196602,16.79543114,29770,456.8357544
Steeles,11.82825375,11.94410133,8.014104843,23.77179146,11.71829224,19.32367134,3.851486683,7.720219135,15.35096169,3.788596392,26395,185.6412201
Mount Dennis,29.42041779,7.338911057,NA,36.16374969,7.136230469,35.34568024,21.17298317,21.23893738,35.25098801,49.10213089,14256,855.7800293
Lambton Baby Point,NA,24.38726997,24.39024353,NA,24.03557205,11.95743179,23.96644783,12.08459187,12.08167171,24.11381721,8294,373.7641602
Weston,21.55172348,16.27780724,21.79480171,16.0978756,42.20967484,20.79001999,51.63422394,25.78648758,45.98640823,20.19284248,19809,1226.715088
Beechborough-Greenbrook,30.10234833,75.68876648,60.65200806,29.94460297,NA,29.08244896,28.92263222,NA,28.72325134,99.19229126,7057,1161.966797
Rockcliffe-Smythe,30.33586121,13.05823994,17.44135284,43.30879211,64.27285767,38.32396698,17.06266212,21.46659851,51.4425354,46.90231705,23453,767.4924316
Keelesdale-Eglinton West,8.776549339,17.50700188,NA,34.49762726,25.49069595,75.72570801,33.61344528,8.429571152,NA,25.06475067,11969,935.7506714
Palmerston-Little Italy,41.67245483,6.972042084,41.86143875,48.44290543,75.25483704,81.49959564,27.20163155,NA,47.75875092,54.42547226,14699,523.8451538
University,99.46007538,142.8163452,85.87376404,84.68595886,249.8265076,95.47190094,81.33387756,67.56756592,161.0954437,145.425705,7564,1679.005859
Kensington-Chinatown,102.5419617,196.4207764,109.9444809,144.7100372,140.6396484,182.8617859,129.973999,103.8472977,101.9664993,136.6055908,21229,2270.479004
North St.James Town,31.71582603,15.78781223,41.843193050000004,41.20313263,15.208354,75.05253601,44.71827316,14.91276073,24.6329689,43.91957855,20492,1346.867065
Moss Park,39.91560745,71.17827606,63.1047554,102.3227234,178.7576294,120.8430023,71.08667755,74.86431122,73.47538757,112.5771179,22207,2823.434082
Regent Park,72.90622711,45.34325027,18.02938843,17.26221275,33.05784988,47.70992279,30.81664085,45.1501236,36.45909119,56.47324753,14166,1129.464966
Cabbagetown-South St.James Town,34.46493149,43.51610184,61.37659073,60.75861359,51.40507126,25.41511345,25.35282707,59.3119812,75.89812469,50.13368988,11968,1094.585571
South Riverdale,62.2027092,61.47170639,78.4397583,91.43660736,82.96746826,71.59660339,74.54847717,71.15990448,73.92472839,89.59681702,30135,1124.937744
Blake-Jones,25,25.14142036,NA,24.996875760000002,12.34872818,48.9536171,61.10228348,24.56700706,12.23690605,36.45643616,8229,984.3237305
North Riverdale,24.52984428,16.5111866,49.8421669,41.29501343,41.01049805,40.8030014,16.3907547,8.254911423,24.81389618,16.43655396,12168,657.4622192
Playter Estates-Danforth,NA,25.94033813,38.82490158,12.8733263,25.55257416,76.33587646,89.22880554,12.85677528,51.48005295,NA,7764,1365.275635
Danforth,20.24701309,40.49812698,40.37956619,30.03905106,49.52456284,39.35458374,19.68697739,49.51475525,29.65305901,49.14971161,10173,1297.552368
Greenwood-Coxwell,33.71998978,47.19843674,47.04301071,53.27650452,39.52569199,32.6285553,26.11647987,39.37266159,45.77556992,19.48052025,15400,824.675354
Woodbine Corridor,15.92483521,23.67424202,46.7653923,23.15172005,53.42288208,22.67916489,30.21832657,15.17335606,37.78718185,22.58695984,13282,767.956604
The Beaches,36.36033249,22.73450661,13.60112476,31.39717484,22.14152908,39.45119095,43.77708817,35.12314987,34.96503448,69.27306366,23097,489.2410278
East End-Danforth,18.55373573,41.7207489,50.79423904,41.04528809,35.93729019,39.92724228,22.08480644,35.37005997,52.6986084,30.42023468,23011,947.3729858
Taylor-Massey,24.85398293,18.69275284,31.16429901,12.39695072,24.58966064,18.36097717,49.0647049,61.86587524,24.75094414,18.56780434,16157,891.2545776
Woodbine-Lumsden,24.57908249,37.03246689,74.07407379,NA,36.54970932,60.65752792,12.16841125,NA,12.28350353,49.13401413,8141,393.072113
Danforth East York,5.712979794,17.12231064,22.7414856,NA,16.79919434,44.5112114,27.88777924,22.4643383,16.83690643,22.36761093,17883,570.3740845
Old East York,42.17185211,31.71582603,21.10595131,20.97755432,NA,31.10097504,41.63630676,52.48241806,10.50199509,10.4821806,9540,660.3773804
Runnymede-Bloor West Village,9.62371254,9.592326164,9.52018261,NA,18.69683075,18.55287552,27.84998131,74.787323,NA,55.69996262,10772,538.4329834
High Park North,22.32740974,8.901152611,8.846817017,8.708146095,17.11303139,21.07925797,16.7399044,20.89776802,24.8323822,16.34387589,24474,764.0761719
High Park-Swansea,34.13114929,21.03491783,20.6885128,40.76308441,12.01441765,51.29419327,31.36885834,15.66784191,19.41596794,38.26286697,26135,405.5863647
Roncesvalles,12.88327789,12.95840359,19.47925377,77.22007751,31.74401665,63.03977966,25.18891716,50.53695679,50.38735199,31.36959648,15939,853.2530518
South Parkdale,23.36667061,18.66803551,41.85268021,50.44714355,40.58258438,106.742569,57.43571472,26.47720718,43.78092194,91.09048462,23054,1405.395996
Little Portugal,34.81894302,6.648494244,25.40650368,12.47894192,67.06499481,53.87931061,35.55134201,41.26628494,23.28966522,57.47456741,17399,741.421936
Dufferin Grove,66.03929138,41.21671677,24.63256454,24.37835121,72.09805298,63.53744888,31.73595619,23.86634827,47.539814,62.9475174,12709,1164.529053
Trinity-Bellwoods,52.62234879,35.37527084,11.8497448,35.16174316,46.22941208,17.14775658,45.61263657,45.73780823,56.88929367,50.52206039,17814,780.2851563
Don Valley Village,28.87044334,21.69118881,28.91740417,35.68115234,38.65616989,48.6178627,20.75621796,38.09523773,37.82798767,47.58020782,29424,564.1652832
Pleasant View,12.12194633,30.55861092,18.43657875,30.50082397,30.16773224,23.97650337,35.98848343,36.19254303,24.07897949,29.88285828,16732,310.7817383
Flemingdon Park,39.72808456,13.27198696,13.26905251,17.53232574,4.336325169,12.91322327,12.9010067,8.649023056,4.311274052,21.29018593,23485,711.0921631
